SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,cX,cY,Conversion X,ConversionY
subImage_7,channel,952,0,0.099762216,0.12781222,0.1774505,0.1505148,1017.976625,74.1741503,8.143812998,0.563878206
subImage_7,channel,952,0,0.89420575,0.57552564,0.97720605,0.5997978,1397.396008,313.2236932,11.17916807,2.381153185
subImage_7,channel,952,0,0.91112727,0.2739589,0.98228365,0.29673693,1402.631799,152.0904354,11.22105439,1.156204439
subImage_7,channel,952,0,0.10728895,0.57948554,0.17326444,0.6036434,1018.771708,315.303866,8.15017366,2.396966835
subImage_7,channel,952,0,0.10625938,0.7301942,0.17746593,0.7497704,1019.526625,394.4105696,8.156212998,2.998342732
subImage_7,channel,952,0,0.7600719,0.72476614,0.82291746,0.7468691,1328.751462,392.1907868,10.63001169,2.981467754
subImage_7,channel,952,0,0.7440264,0.122800596,0.8140349,0.15186165,1322.81859,73.1974893,10.58254872,0.556453546
subImage_7,channel,952,0,0.28329876,0.8784769,0.35471568,0.9018107,1103.847436,474.4466516,8.830779486,3.606783842
subImage_7,channel,952,0,0.096354984,0.4300984,0.16776505,0.45068055,1014.860568,234.7275951,8.118884546,1.784419163
subImage_7,channel,952,0,0.5951805,0.7261609,0.6558324,0.74464643,1249.741075,391.9701492,9.997928602,2.979790448
subImage_7,channel,952,0,0.27853364,0.7280922,0.3363938,0.7459918,1098.352731,392.8433912,8.786821847,2.986428908
subImage_7,channel,952,0,0.89259195,0.12302491,0.9765534,0.1475069,1396.856589,72.0967256,11.17485272,0.548085447
subImage_8,channel,952,533,0.6127558,0.7790169,0.67891717,0.8030785,1259.418161,954.62842,10.07534529,7.257166529
subImage_8,channel,952,533,0.44817322,0.78077954,0.5191434,0.8043673,1182.221357,955.441634,9.457770859,7.263348651
subImage_8,channel,952,533,0.2905161,0.78007746,0.35756242,0.8081135,1106.24269,956.2528943,8.849941523,7.269515921
subImage_8,channel,952,533,0.44984254,0.9300972,0.520773,0.9547664,1183.006498,1035.316153,9.46405198,7.870561548
subImage_8,channel,952,533,0.6135206,0.92916775,0.6824395,0.95407027,1260.438511,1034.882932,10.08350808,7.86726816
subImage_8,channel,952,533,0.7764467,0.92985713,0.8385038,0.9513569,1336.358214,1034.343537,10.69086571,7.863167636
subImage_8,channel,952,533,0.587172,0.47816035,0.66068536,0.5007661,1248.990045,793.8838989,9.991920361,6.035172994
subImage_8,channel,952,533,0.755002,0.47467908,0.82357574,0.50049794,1327.701506,792.8846758,10.62161205,6.027576814
subImage_8,channel,952,533,0.44770178,0.3274677,0.51114947,0.3485996,1180.206597,713.1719414,9.441652776,5.421593821
subImage_8,channel,952,533,0.44468614,0.02505595,0.50796586,0.05130179,1178.731178,553.3493375,9.429849422,4.206608777
subImage_8,channel,952,533,0.29012436,0.9314029,0.35815883,0.95467496,1106.291398,1035.639755,8.850331182,7.873021597
subImage_8,channel,952,533,0.429426,0.4788327,0.49673375,0.50017184,1172.426025,793.9047078,9.379408201,6.035331184
subImage_8,channel,952,533,0.60554945,0.326614,0.67000324,0.34644037,1255.58154,712.3689889,10.04465232,5.415489707
subImage_8,channel,952,533,0.7572938,0.17584656,0.8144924,0.19329962,1326.085122,631.3774578,10.60868097,4.799785192
subImage_8,channel,952,533,0.7697564,0.6269025,0.8343179,0.64727247,1333.769683,872.5676344,10.67015747,6.63333345
subImage_8,channel,952,533,0.7701181,0.7792561,0.83821934,0.8004326,1334.784316,953.987046,10.67827453,7.252290749
subImage_8,channel,952,533,0.12856473,0.7831303,0.19792305,0.8049551,1029.704092,956.2247626,8.237632732,7.269302061
subImage_8,channel,952,533,0.124968395,0.32717884,0.18949221,0.3492626,1026.841624,713.2716414,8.214732993,5.422351748
subImage_8,channel,952,533,0.44922894,0.6276995,0.51500744,0.64835966,1181.488258,873.0697637,9.451906065,6.637150679
subImage_8,channel,952,533,0.26677942,0.47693548,0.3363087,0.5021515,1095.53497,793.9266763,8.764279763,6.03549819
subImage_8,channel,952,533,0.43757808,0.17552836,0.4974561,0.19720568,1174.538136,632.3336217,9.396305089,4.807054031
subImage_8,channel,952,533,0.2792674,0.027177138,0.3519023,0.050783817,1102.21839,553.7765945,8.817747121,4.209856822
subImage_8,channel,952,533,0.6052655,0.026712872,0.6644028,0.045442328,1254.181051,552.2293608,10.03344841,4.198094619
subImage_8,channel,952,533,0.29051515,0.32724017,0.3479761,0.34841132,1103.960916,713.0611223,8.831687327,5.420751364
subImage_8,channel,952,533,0.10569148,0.47998363,0.17746647,0.50205904,1019.391591,794.7143716,8.155132727,6.041486318
subImage_8,channel,952,533,0.12753792,0.93222827,0.19829807,0.9539476,1029.548965,1035.66587,8.236391721,7.873220121
subImage_8,channel,952,533,0.12790391,0.027425878,0.18920505,0.04507678,1027.471932,552.3219583,8.219775458,4.198798554
subImage_8,channel,952,533,0.12681907,0.6292947,0.1921276,0.65156835,1027.909309,874.3500019,8.223274468,6.64688316
subImage_8,channel,952,533,0.27359006,0.17641653,0.3383573,0.196051,1097.643471,632.2625975,8.781147769,4.806514099
subImage_8,channel,952,533,0.60694104,0.6295494,0.67609733,0.6483228,1257.363134,873.5529426,10.05890507,6.640823847
subImage_8,channel,952,533,0.9241812,0.6260274,0.9896018,0.65048367,1407.480357,873.190201,11.25984286,6.638066254
subImage_8,channel,952,533,0.771008,0.32600892,0.83396477,0.34552854,1333.983522,711.9647328,10.67186817,5.412416518
subImage_8,channel,952,533,0.003985871,0.9351683,0.044180974,0.95558083,963.4637091,1036.88465,7.707709673,7.882485395
subImage_8,channel,952,533,0.90846735,0.17596157,0.97646743,0.19246691,1400.614478,631.1861909,11.20491583,4.798331164
subImage_8,channel,952,533,0.9029073,0.47713676,0.9788363,0.5008988,1399.854979,793.6464712,11.19883983,6.033368048
subImage_8,channel,952,533,0.9269379,0.7802799,0.99154764,0.8009992,1408.599554,954.4108799,11.26879643,7.255512771
subImage_8,channel,952,533,0.9318608,0.9319434,0.9961715,0.95063525,1410.871682,1034.707216,11.28697346,7.865932353
subImage_8,channel,952,533,0.2802897,0.63004225,0.35114858,0.6475625,1102.282312,873.4816682,8.818258495,6.640282013
subImage_10,channel,1428,0,0.6946541,0.5700306,0.76644355,0.59342366,1775.741243,310.0605694,14.20592994,2.357106848
subImage_10,channel,1428,0,0.23013324,0.8733567,0.30805936,0.9006749,1556.089839,472.7794159,12.44871871,3.594109374
subImage_10,channel,1428,0,0.3658199,0.4206085,0.4406882,0.44681737,1619.948926,231.1689914,12.95959141,1.757366355
subImage_10,channel,1428,0,0.6928232,0.119474694,0.7677405,0.14400135,1775.614151,70.21636571,14.20491321,0.533790791
subImage_10,channel,1428,0,0.55222344,0.8724112,0.62588584,0.89799947,1708.390011,471.8144401,13.66712008,3.586773545
subImage_10,channel,1428,0,0.23329687,0.27085626,0.30239493,0.298092,1555.494648,151.6247137,12.44395718,1.152663983
subImage_10,channel,1428,0,0.21521808,0.122806065,0.28376108,0.14558206,1546.757042,71.52543658,12.37405633,0.543742459
subImage_10,channel,1428,0,0.8698897,0.87268543,0.940889,0.8972401,1858.965325,471.685155,14.8717226,3.585790709
subImage_10,channel,1428,0,0.7102125,0.2702132,0.78376627,0.29726517,1783.566954,151.2329826,14.26853563,1.14968601
subImage_10,channel,1428,0,0.7132235,0.8717077,0.78531283,0.8953108,1784.651651,470.9104294,14.27721321,3.57990118
subImage_10,channel,1428,0,0.54905355,0.27234238,0.61994416,0.29399475,1706.221454,150.9288474,13.64977163,1.147373948
subImage_10,channel,1428,0,0.5251097,0.4233414,0.5981695,0.44570693,1695.340453,231.6013792,13.56272362,1.760653404
subImage_10,channel,1428,0,0.68998796,0.4189418,0.76396453,0.44479257,1774.040693,230.1852081,14.19232554,1.749887551
subImage_10,channel,1428,0,0.3800541,0.57323617,0.45024645,0.59517395,1625.611528,311.3812976,13.00489223,2.367147137
subImage_10,channel,1428,0,0.5356367,0.570026,0.6064258,0.5965197,1699.810886,310.8844261,13.59848709,2.363369877
subImage_10,channel,1428,0,0.397399,0.8729409,0.46684837,0.8960852,1633.690877,471.4454558,13.06952701,3.583968496
subImage_10,channel,1428,0,0.71125144,0.7206783,0.7778239,0.74087614,1782.399936,389.5042656,14.25919949,2.961044591
subImage_10,channel,1428,0,0.075372115,0.26960018,0.14441505,0.30193213,1480.309345,152.3133604,11.84247476,1.157899134
subImage_10,channel,1428,0,0.3924588,0.7228934,0.45650113,0.7423153,1630.052462,390.478121,13.04041969,2.968447923
subImage_10,channel,1428,0,0.8567227,0.5708967,0.92423964,0.5942945,1851.869039,310.5234478,14.81495231,2.360625689
subImage_10,channel,1428,0,0.21944764,0.5733319,0.28441426,0.59364784,1547.919133,311.0000981,12.38335307,2.364249225
subImage_10,channel,1428,0,0.8638373,0.27056402,0.9367379,0.2920623,1856.536897,149.9399175,14.85229517,1.139856019
subImage_10,channel,1428,0,0.39443263,0.2713404,0.45476207,0.2913734,1630.10834,149.9632282,13.04086672,1.140033229
subImage_10,channel,1428,0,0.0695854,0.5744038,0.13387237,0.5984849,1476.42295,312.5748375,11.8113836,2.376220529
subImage_10,channel,1428,0,0.049276173,0.42472446,0.12570938,0.44829017,1469.646563,232.6583986,11.7571725,1.768688955
subImage_10,channel,1428,0,0.5432843,0.121579744,0.61356294,0.14259961,1703.329643,70.40379848,13.62663714,0.53521567
subImage_10,channel,1428,0,0.37598166,0.12017188,0.45407405,0.14574933,1625.55326,70.86800319,13.00442608,0.538744594
subImage_10,channel,1428,0,0.06689486,0.12258153,0.12781243,0.14782518,1474.340335,72.06338771,11.79472268,0.547832009
subImage_10,channel,1428,0,0.07535723,0.72412276,0.13270377,0.74516445,1477.518517,391.5650432,11.82014813,2.976710798
subImage_10,channel,1428,0,0.8400681,0.41972217,0.9158006,0.44535947,1845.896744,230.5442566,14.76717395,1.752617068
subImage_10,channel,1428,0,0.22703692,0.7237882,0.29355848,0.7433053,1551.901706,390.980425,12.41521364,2.97226648
subImage_10,channel,1428,0,0.07545083,0.8722389,0.14976934,0.8983332,1481.6024,471.8574557,11.8528192,3.587100554
subImage_10,channel,1428,0,0.20390107,0.4240689,0.27544266,0.4477436,1542.083807,232.3380293,12.33667046,1.766253481
subImage_10,channel,1428,0,0.8603708,0.7217046,0.9264336,0.73916334,1853.259456,389.3213064,14.82607565,2.959653719
subImage_10,channel,1428,0,0.547442,0.72171104,0.6157901,0.7420707,1704.849251,390.0978269,13.63879401,2.965556894
subImage_11,channel,1428,533,0.56460226,0.9245792,0.6373216,0.9506059,1714.057876,1032.736838,13.71246301,7.850953371
subImage_11,channel,1428,533,0.7244576,0.7747703,0.79423636,0.79737365,1789.449168,951.9763685,14.31559334,7.237005408
subImage_11,channel,1428,533,0.40448833,0.7776639,0.47195232,0.7991011,1636.592873,953.2078727,13.09274299,7.246367408
subImage_11,channel,1428,533,0.39656484,0.021198051,0.4647983,0.04888347,1633.004428,551.6767258,13.06403542,4.193893441
subImage_11,channel,1428,533,0.7179383,0.9251873,0.79522866,0.95107734,1788.133737,1033.024524,14.3050699,7.853140389
subImage_11,channel,1428,533,0.2512437,0.9266812,0.31457508,0.9511025,1562.664871,1033.42936,12.50131897,7.856217986
subImage_11,channel,1428,533,0.7185404,0.31895825,0.7858623,0.34246367,1786.047842,709.268943,14.28838274,5.391922894
subImage_11,channel,1428,533,0.8694445,0.4742766,0.93408585,0.4945599,1857.24022,791.1949316,14.85792176,6.014731235
subImage_11,channel,1428,533,0.55017257,0.021295577,0.6275348,0.04428406,1708.294355,550.4769735,13.66635484,4.184772822
subImage_11,channel,1428,533,0.08277662,0.32329255,0.14719142,0.34681636,1482.732394,711.5840257,11.86185915,5.40952235
subImage_11,channel,1428,533,0.23469639,0.62548804,0.30025393,0.64592457,1555.318175,871.8314608,12.4425454,6.627736996
subImage_11,channel,1428,533,0.07731658,0.024057932,0.14660841,0.04721164,1481.294149,551.9933409,11.85035319,4.196300376
subImage_11,channel,1428,533,0.23307912,0.023009973,0.30451626,0.04579857,1555.9477,551.3374766,12.4475816,4.19131444
subImage_11,channel,1428,533,0.23551178,0.32341778,0.30779868,0.34398577,1557.30789,710.8630458,12.45846312,5.404041399
subImage_11,channel,1428,533,0.07241683,0.7766762,0.1523131,0.80343246,1481.485722,954.0989532,11.85188578,7.253141478
subImage_11,channel,1428,533,0.40094215,0.32058316,0.46554735,0.34821022,1634.224501,711.2334358,13.07379601,5.406857136
subImage_11,channel,1428,533,0.5547279,0.77557474,0.6330375,0.7974374,1710.68817,952.2077442,13.68550536,7.238764345
subImage_11,channel,1428,533,0.873351,0.01956539,0.9419024,0.042178426,1860.030304,549.4547271,14.88024243,4.177001618
subImage_11,channel,1428,533,0.5571604,0.624434,0.6253222,0.6456356,1709.430859,871.4735482,13.67544687,6.625016113
subImage_11,channel,1428,533,0.39001694,0.4742383,0.45619962,0.49398208,1629.399541,791.0307321,13.03519633,6.013482976
subImage_11,channel,1428,533,0.2184084,0.47328696,0.29707876,0.4971219,1550.685945,791.6139604,12.40548756,6.017916727
subImage_11,channel,1428,533,0.7205172,0.01981634,0.7876334,0.04190396,1786.939852,549.4484606,14.29551881,4.176953979
subImage_11,channel,1428,533,0.7211306,0.6230893,0.78444666,0.64283717,1786.327389,870.369407,14.29061911,6.616622338
subImage_11,channel,1428,533,0.38329962,0.17083488,0.44825658,0.1948536,1625.910376,630.455982,13.00728301,4.792780054
subImage_11,channel,1428,533,0.08601314,0.92843854,0.15114334,0.9512024,1484.443242,1033.92431,11.87554594,7.859980634
subImage_11,channel,1428,533,0.54504454,0.47371423,0.6145009,0.49632284,1703.97181,791.5148799,13.63177448,6.017163509
subImage_11,channel,1428,533,0.40741166,0.9270159,0.4727256,0.9484655,1637.472669,1032.8158,13.09978135,7.851553651
subImage_11,channel,1428,533,0.07515348,0.47583252,0.13687058,0.4982329,1478.461725,792.5884352,11.8276938,6.025324768
subImage_11,channel,1428,533,0.8773795,0.92557955,0.952834,0.94605106,1863.59081,1031.789557,14.90872648,7.843752065
subImage_11,channel,1428,533,0.87590253,0.6227993,0.94503504,0.6421282,1861.383143,870.1031805,14.89106514,6.614598461
subImage_11,channel,1428,533,0.40175578,0.6245775,0.4666963,0.6479783,1634.691593,872.1361282,13.07753275,6.630053103
subImage_11,channel,1428,533,0.08213744,0.62705714,0.1431755,0.6466001,1481.62448,872.4296604,11.85299584,6.63228456
subImage_11,channel,1428,533,0.7021469,0.17198823,0.77063525,0.18947345,1778.522148,629.3295388,14.22817719,4.784216737
subImage_11,channel,1428,533,0.24662542,0.7755262,0.3114788,0.8029717,1560.828804,953.6697027,12.48663043,7.249878278
subImage_11,channel,1428,533,0.7081272,0.47345316,0.77214634,0.4936425,1780.305104,790.7309969,14.24244083,6.011204364
subImage_11,channel,1428,533,0.5517778,0.17114562,0.61711806,0.18804754,1706.19721,628.7249774,13.64957768,4.77962081
subImage_11,channel,1428,533,0.8710729,0.32109594,0.9449224,0.34074983,1860.206876,709.3818986,14.88165501,5.392781593
subImage_11,channel,1428,533,0.07338471,0.17185217,0.13452433,0.18953726,1477.482352,629.3102827,11.81985881,4.78407035
subImage_11,channel,1428,533,0.8618594,0.17136458,0.9270022,0.18728937,1853.749054,628.5812771,14.82999243,4.778528388
subImage_11,channel,1428,533,0.22544575,0.17476529,0.29407656,0.19158491,1551.64631,630.6323293,12.41317048,4.794120661
subImage_11,channel,1428,533,0.87480235,0.77543676,0.9521838,0.7934758,1862.8227,951.1151988,14.9025816,7.230458722
subImage_11,channel,1428,533,0.5554746,0.32212684,0.6234421,0.3391522,1708.582173,709.2308595,13.66865738,5.391633381
subImage_13,channel,1904,0,0.6399324,0.41569588,0.7094516,0.44374287,2225.153394,229.0404261,17.80122715,1.741184821
subImage_13,channel,1904,0,0.4790233,0.41765994,0.5556031,0.44318426,2150.241082,229.4149779,17.20192866,1.744032195
subImage_13,channel,1904,0,0.32015482,0.41619843,0.3941064,0.44211882,2073.994167,228.7415487,16.59195333,1.738912729
subImage_13,channel,1904,0,0.65755874,0.56792265,0.7211719,0.5892128,2232.137896,308.3765913,17.85710317,2.344305103
subImage_13,channel,1904,0,0.66027737,0.26546022,0.7361808,0.29047874,2236.357039,148.1577326,17.89085632,1.126307698
subImage_13,channel,1904,0,0.8050741,0.11542231,0.8805185,0.1429665,2305.171037,68.86061584,18.44136829,0.523484265
subImage_13,channel,1904,0,0.82232916,0.2659062,0.8913342,0.29047957,2311.851875,148.2768118,18.494815,1.127212948
subImage_13,channel,1904,0,0.17056012,0.117654175,0.23855929,0.14228806,2001.37042,69.27460524,16.01096336,0.526631447
subImage_13,channel,1904,0,0.18130961,0.71889263,0.2508593,0.73951304,2006.856198,388.665112,16.05484959,2.954665274
subImage_13,channel,1904,0,0.1801571,0.26755255,0.25348702,0.29403195,2007.2073,149.6622699,16.0576584,1.137745319
subImage_13,channel,1904,0,0.18595567,0.8699812,0.2598065,0.8918344,2010.091401,469.5238594,16.0807312,3.569360356
subImage_13,channel,1904,0,0.8235276,0.715462,0.89635116,0.7385104,2313.331138,387.4836444,18.50664911,2.945683656
subImage_13,channel,1904,0,0.3511258,0.86902666,0.4168352,0.89195323,2086.774717,469.3011409,16.69419774,3.567667231
subImage_13,channel,1904,0,0.34200034,0.26639003,0.4133572,0.28866172,2083.775093,147.9212898,16.67020074,1.124510239
subImage_13,channel,1904,0,0.015156343,0.41912857,0.07761799,0.4505262,1926.080291,231.7629974,15.40864233,1.76188204
subImage_13,channel,1904,0,0.66939175,0.86718184,0.74306375,0.89043397,2240.164409,468.4046119,17.92131527,3.560851742
subImage_13,channel,1904,0,0.65589476,0.11217036,0.7221771,0.1441605,2231.981099,68.31217291,17.85584879,0.519314955
subImage_13,channel,1904,0,0.5074306,0.26809448,0.5740602,0.28963095,2161.394814,148.633827,17.29115851,1.129927008
subImage_13,channel,1904,0,0.8216711,0.8669604,0.89806736,0.888738,2313.297759,467.893619,18.50638207,3.55696713
subImage_13,channel,1904,0,0.81643313,0.5684064,0.8792857,0.59190387,2307.58108,309.2226865,18.46064864,2.350737191
subImage_13,channel,1904,0,0.1745388,0.56481826,0.24097629,0.59273756,2002.892593,308.4886256,16.02314074,2.345156798
subImage_13,channel,1904,0,0.33372384,0.5703631,0.40192336,0.5912409,2079.084034,309.5674626,16.63267227,2.353358208
subImage_13,channel,1904,0,0.15779884,0.4188326,0.22486916,0.44388184,1995.074985,229.9133982,15.96059988,1.747821228
subImage_13,channel,1904,0,0.023185184,0.8725159,0.107043006,0.8984903,1934.994309,471.9731594,15.47995447,3.587980143
subImage_13,channel,1904,0,0.34369144,0.71890074,0.4062888,0.736928,2082.495297,387.9783556,16.65996238,2.949444493
subImage_13,channel,1904,0,0.5056003,0.8677765,0.5781232,0.88898945,2161.92619,468.1781288,17.29540952,3.559129997
subImage_13,channel,1904,0,0.016918141,0.5677642,0.08923887,0.59909916,1929.265368,310.9690913,15.43412294,2.364013509
subImage_13,channel,1904,0,0.3323343,0.11656425,0.41550007,0.14119421,2081.984583,68.69262984,16.65587667,0.522207221
subImage_13,channel,1904,0,0.5035281,0.7161774,0.57237506,0.7387676,2160.064956,387.7428499,17.28051965,2.947654159
